#year,month,day,lat,lon,frph,instrument
2023,4,5,48.7,124.1,2.84,AHI Himawari-9
2023,4,5,48.7,124.18,7.39,AHI Himawari-9
2023,4,5,48.7,124.2,7.39,AHI Himawari-9
2023,4,5,48.7,128.98,4.77,AHI Himawari-9
2023,4,5,48.68,124.2,7.39,AHI Himawari-9
2023,4,5,48.68,125.64,6.25,AHI Himawari-9
2023,4,5,48.68,128.94,11.12,AHI Himawari-9
2023,4,5,48.64,125.66,36.54,AHI Himawari-9
2023,4,5,48.62,125.24,34.31,AHI Himawari-9
2023,4,5,48.62,125.26,34.31,AHI Himawari-9
2023,4,5,48.62,125.28,11.22,AHI Himawari-9
2023,4,5,48.62,125.54,3.94,AHI Himawari-9
2023,4,5,48.62,125.66,36.54,AHI Himawari-9
2023,4,5,48.6,125.16,81.64,AHI Himawari-9
2023,4,5,48.6,125.26,34.31,AHI Himawari-9
2023,4,5,48.58,125.16,81.64,AHI Himawari-9
2023,4,5,48.58,125.2,29.26,AHI Himawari-9
2023,4,5,48.58,125.22,24.04,AHI Himawari-9
2023,4,5,48.58,125.24,24.04,AHI Himawari-9
2023,4,5,48.58,125.28,13.64,AHI Himawari-9
2023,4,5,48.58,125.3,13.64,AHI Himawari-9
2023,4,5,48.56,125.08,11.87,AHI Himawari-9
2023,4,5,48.56,125.1,11.87,AHI Himawari-9
2023,4,5,48.56,125.14,34.54,AHI Himawari-9
2023,4,5,48.56,125.18,72.52,AHI Himawari-9
2023,4,5,48.56,125.2,10.79,AHI Himawari-9
2023,4,5,48.56,125.22,10.79,AHI Himawari-9
2023,4,5,48.56,125.24,45.03,AHI Himawari-9
2023,4,5,48.54,125.08,11.87,AHI Himawari-9
2023,4,5,48.54,125.1,11.87,AHI Himawari-9
2023,4,5,48.54,125.16,34.54,AHI Himawari-9
2023,4,5,48.54,125.18,72.52,AHI Himawari-9
2023,4,5,48.54,125.2,72.52,AHI Himawari-9
2023,4,5,48.54,125.22,10.79,AHI Himawari-9
2023,4,5,48.54,125.24,45.03,AHI Himawari-9
2023,4,5,48.54,125.26,45.03,AHI Himawari-9
2023,4,5,48.52,125.1,17.78,AHI Himawari-9
